,年次,調査区域,項目,variable,value
445,1984年,全国,居住室数（室）【室】,第2階級,4.6
446,1984年,全国,家賃・地代を支払っている世帯割合（％）,第2階級,40.6
447,1984年,全国,年間収入（千円）,第2階級,"2,875"
448,1984年,全国,消費支出【円】,第2階級,"190,597"
449,1984年,全国,食料【円】,第2階級,"59,934"
450,1984年,全国,穀類【円】,第2階級,"7,963"
451,1984年,全国,米類【円】,第2階級,"4,933"
452,1984年,全国,パン【円】,第2階級,"1,654"
453,1984年,全国,めん類【円】,第2階級,"1,125"
454,1984年,全国,穀粉・その他【円】,第2階級,251
455,1984年,全国,魚介類【円】,第2階級,"8,692"
456,1984年,全国,生鮮魚介【円】,第2階級,"5,664"
457,1984年,全国,塩干魚介【円】,第2階級,"1,817"
458,1984年,全国,魚肉練製品【円】,第2階級,790
459,1984年,全国,他の魚介加工品【円】,第2階級,422
460,1984年,全国,肉類【円】,第2階級,"6,350"
461,1984年,全国,生鮮肉【円】,第2階級,"5,365"
462,1984年,全国,加工肉【円】,第2階級,985
463,1984年,全国,乳卵類【円】,第2階級,"3,423"
464,1984年,全国,牛乳【円】,第2階級,"1,746"
465,1984年,全国,乳製品【円】,第2階級,560
466,1984年,全国,卵【円】,第2階級,"1,116"
467,1984年,全国,野菜・海草【円】,第2階級,"7,387"
468,1984年,全国,生鮮野菜【円】,第2階級,"4,850"
469,1984年,全国,乾物・海草【円】,第2階級,615
470,1984年,全国,大豆加工品【円】,第2階級,917
471,1984年,全国,他の野菜・海草加工品【円】,第2階級,"1,005"
472,1984年,全国,果物【円】,第2階級,"3,607"
473,1984年,全国,生鮮果物【円】,第2階級,"3,543"
474,1984年,全国,果物加工品【円】,第2階級,65
475,1984年,全国,油脂・調味料【円】,第2階級,"2,664"
476,1984年,全国,油脂【円】,第2階級,427
477,1984年,全国,調味料【円】,第2階級,"2,238"
478,1984年,全国,菓子類【円】,第2階級,"4,420"
479,1984年,全国,調理食品【円】,第2階級,"2,963"
480,1984年,全国,主食的調理食品【円】,第2階級,696
481,1984年,全国,他の調理食品【円】,第2階級,"2,267"
482,1984年,全国,飲料【円】,第2階級,"2,123"
483,1984年,全国,茶類【円】,第2階級,338
484,1984年,全国,コーヒー・ココア【円】,第2階級,430
485,1984年,全国,他の飲料【円】,第2階級,"1,355"
486,1984年,全国,酒類【円】,第2階級,"2,834"
487,1984年,全国,外食【円】,第2階級,"7,508"
488,1984年,全国,一般外食【円】,第2階級,"6,203"
489,1984年,全国,学校給食【円】,第2階級,"1,305"
490,1984年,全国,住居【円】,第2階級,"13,378"
491,1984年,全国,家賃・地代【円】,第2階級,"9,543"
492,1984年,全国,設備修繕・維持【円】,第2階級,"3,836"
493,1984年,全国,設備材料【円】,第2階級,694
494,1984年,全国,工事その他のサービス【円】,第2階級,"3,141"
495,1984年,全国,光熱・水道【円】,第2階級,"13,380"
496,1984年,全国,電気代【円】,第2階級,"5,991"
497,1984年,全国,ガス代【円】,第2階級,"3,858"
498,1984年,全国,他の光熱【円】,第2階級,"1,174"
499,1984年,全国,水道料【円】,第2階級,"2,357"
500,1984年,全国,家具・家事用品【円】,第2階級,"8,205"
501,1984年,全国,家庭用耐久財【円】,第2階級,"2,516"
502,1984年,全国,家事用耐久財【円】,第2階級,"1,062"
503,1984年,全国,冷暖房用器具【円】,第2階級,894
504,1984年,全国,一般家具【円】,第2階級,560
505,1984年,全国,室内装備品【円】,第2階級,643
506,1984年,全国,寝具類【円】,第2階級,"1,242"
507,1984年,全国,家事雑貨【円】,第2階級,"1,576"
508,1984年,全国,家事用消耗品【円】,第2階級,"1,585"
509,1984年,全国,家事サービス【円】,第2階級,643
510,1984年,全国,被服及び履物【円】,第2階級,"10,546"
511,1984年,全国,和服【円】,第2階級,564
512,1984年,全国,洋服【円】,第2階級,"3,690"
513,1984年,全国,男子洋服【円】,第2階級,"1,240"
514,1984年,全国,婦人洋服【円】,第2階級,"1,690"
515,1984年,全国,子供洋服【円】,第2階級,760
516,1984年,全国,シャツ・セーター類【円】,第2階級,"1,671"
517,1984年,全国,男子シャツ・セーター類【円】,第2階級,587
518,1984年,全国,婦人シャツ・セーター類【円】,第2階級,841
519,1984年,全国,子供シャツ・セーター類【円】,第2階級,243
520,1984年,全国,下着類【円】,第2階級,"1,119"
521,1984年,全国,男子下着類【円】,第2階級,440
522,1984年,全国,婦人下着類【円】,第2階級,428
523,1984年,全国,子供下着類【円】,第2階級,251
524,1984年,全国,生地・糸類【円】,第2階級,594
525,1984年,全国,他の被服【円】,第2階級,826
526,1984年,全国,履物類【円】,第2階級,"1,300"
527,1984年,全国,被服関連サービス【円】,第2階級,784
528,1984年,全国,保健医療【円】,第2階級,"5,929"
529,1984年,全国,医薬品【円】,第2階級,"1,267"
530,1984年,全国,保健医療用品・器具【円】,第2階級,949
531,1984年,全国,保健医療サービス【円】,第2階級,"3,713"
532,1984年,全国,交通通信【円】,第2階級,"20,271"
533,1984年,全国,交通【円】,第2階級,"3,722"
534,1984年,全国,自動車等関係費【円】,第2階級,"11,477"
535,1984年,全国,自動車【円】,第2階級,"3,244"
536,1984年,全国,自転車【円】,第2階級,111
537,1984年,全国,自動車等維持【円】,第2階級,"8,122"
538,1984年,全国,通信【円】,第2階級,"5,072"
539,1984年,全国,教育【円】,第2階級,"5,158"
540,1984年,全国,授業料等【円】,第2階級,"4,483"
541,1984年,全国,教科書・学習参考書【円】,第2階級,166
542,1984年,全国,補習教育【円】,第2階級,509
543,1984年,全国,教養娯楽【円】,第2階級,"14,560"
544,1984年,全国,教養娯楽用耐久財【円】,第2階級,"1,546"
545,1984年,全国,教養娯楽用品【円】,第2階級,"3,095"
546,1984年,全国,書籍・他の印刷物【円】,第2階級,"3,016"
547,1984年,全国,教養娯楽サービス【円】,第2階級,"6,903"
548,1984年,全国,宿泊料【円】,第2階級,304
549,1984年,全国,パック旅行【円】,第2階級,"2,283"
550,1984年,全国,月謝類【円】,第2階級,"1,730"
551,1984年,全国,他の教養娯楽サービス【円】,第2階級,"2,585"
552,1984年,全国,その他の消費支出【円】,第2階級,"39,235"
553,1984年,全国,諸雑費【円】,第2階級,"11,584"
554,1984年,全国,理美容サービス【円】,第2階級,"2,165"
555,1984年,全国,理美容用品【円】,第2階級,"1,816"
556,1984年,全国,身の回り用品【円】,第2階級,705
557,1984年,全国,たばこ【円】,第2階級,"1,998"
558,1984年,全国,（「諸雑費」のその他）【円】,第2階級,"4,901"
559,1984年,全国,こづかい（使途不明）【円】,第2階級,"9,718"
560,1984年,全国,交際費【円】,第2階級,"15,881"
561,1984年,全国,（「交際費」の食料）【円】,第2階級,"3,514"
562,1984年,全国,家具・家事用品（「交際費」の家具・家事用品）【円】,第2階級,466
563,1984年,全国,被服及び履物（「交際費」の被服及び履物）【円】,第2階級,784
564,1984年,全国,（「交際費」の教養娯楽）【円】,第2階級,352
565,1984年,全国,他の物品サービス【円】,第2階級,258
566,1984年,全国,贈与金【円】,第2階級,"8,923"
567,1984年,全国,他の交際費【円】,第2階級,"1,586"
568,1984年,全国,（「その他の消費支出」の仕送り金）【円】,第2階級,"2,052"
569,1984年,全国,（再掲）教育関係費【円】,第2階級,"9,174"
570,1984年,全国,（再掲）教養娯楽関係費【円】,第2階級,"16,821"
571,1984年,全国,（「教養娯楽関係費」の耐久財）【円】,第2階級,"1,622"
572,1984年,全国,読書【円】,第2階級,"2,987"
573,1984年,全国,聴視・観覧【円】,第2階級,"1,135"
574,1984年,全国,旅行【円】,第2階級,"4,705"
575,1984年,全国,スポーツ【円】,第2階級,"1,168"
576,1984年,全国,（「教養娯楽関係費」の月謝）【円】,第2階級,"1,507"
577,1984年,全国,会費・つきあい費【円】,第2階級,806
578,1984年,全国,他の教養娯楽【円】,第2階級,"2,892"
579,1984年,全国,〔耐久財を除く教養娯楽関係費〕【円】,第2階級,"15,199"
580,1984年,全国,（（特掲）財・サービス区分の消費支出。「こづかい（使途不明）」，「贈与金」，「他の交際費」，「仕送り金」は含まれない。）【円】,第2階級,"168,319"
581,1984年,全国,商品【円】,第2階級,"110,839"
582,1984年,全国,耐久財【円】,第2階級,"8,752"
583,1984年,全国,半耐久財【円】,第2階級,"17,935"
584,1984年,全国,非耐久財【円】,第2階級,"84,152"
585,1984年,全国,サービス【円】,第2階級,"57,480"
586,1984年,全国,（財・サービス区分の食料）【円】,第2階級,"63,448"
587,1984年,全国,（財・サービス区分「食料」の非耐久財）【円】,第2階級,"55,037"
588,1984年,全国,（財・サービス区分「食料」のサービス）【円】,第2階級,"8,411"
589,1984年,全国,（財・サービス区分の住居）【円】,第2階級,"13,378"
590,1984年,全国,（財・サービス区分「住居」の耐久財）【円】,第2階級,378
591,1984年,全国,（財・サービス区分「住居」の半耐久財）【円】,第2階級,316
592,1984年,全国,（財・サービス区分「住居」のサービス）【円】,第2階級,"12,684"
593,1984年,全国,光熱・水道（非耐久財）（財・サービス区分の光熱・水道）【円】,第2階級,"13,381"
594,1984年,全国,家具・家事用品（財・サービス区分の家具・家事用品）【円】,第2階級,"8,670"
595,1984年,全国,（財・サービス区分「家具・家事用品」の耐久財）【円】,第2階級,"3,149"
596,1984年,全国,（財・サービス区分「家具・家事用品」の半耐久財）【円】,第2階級,"3,278"
597,1984年,全国,（財・サービス区分「家具・家事用品」の非耐久財）【円】,第2階級,"1,598"
598,1984年,全国,（財・サービス区分「家具・家事用品」のサービス）【円】,第2階級,645
599,1984年,全国,被服及び履物（財・サービス区分の被服及び履物）【円】,第2階級,"11,331"
600,1984年,全国,（財・サービス区分「被服及び履物」の半耐久財）【円】,第2階級,"10,542"
601,1984年,全国,（財・サービス区分「被服及び履物」のサービス）【円】,第2階級,789
602,1984年,全国,（財・サービス区分の保健医療）【円】,第2階級,"5,945"
603,1984年,全国,（財・サービス区分「保健医療」の耐久財）【円】,第2階級,292
604,1984年,全国,（財・サービス区分「保健医療」の半耐久財）【円】,第2階級,190
605,1984年,全国,（財・サービス区分「保健医療」の非耐久財）【円】,第2階級,"1,749"
606,1984年,全国,（財・サービス区分「保健医療」のサービス）【円】,第2階級,"3,714"
607,1984年,全国,（財・サービス区分の交通通信）【円】,第2階級,"20,333"
608,1984年,全国,（財・サービス区分「交通通信」の耐久財）【円】,第2階級,"3,366"
609,1984年,全国,（財・サービス区分「交通通信」の半耐久財）【円】,第2階級,288
610,1984年,全国,（財・サービス区分「交通通信」の非耐久財）【円】,第2階級,"4,618"
611,1984年,全国,（財・サービス区分「交通通信」のサービス）【円】,第2階級,"12,062"
612,1984年,全国,（財・サービス区分の教育）【円】,第2階級,"5,159"
613,1984年,全国,（財・サービス区分「教育」の非耐久財）【円】,第2階級,166
614,1984年,全国,（財・サービス区分「教育」のサービス）【円】,第2階級,"4,992"
615,1984年,全国,（財・サービス区分の教養娯楽）【円】,第2階級,"14,912"
616,1984年,全国,（財・サービス区分「教養娯楽」の耐久財）【円】,第2階級,"1,468"
617,1984年,全国,（財・サービス区分「教養娯楽」の半耐久財）【円】,第2階級,"2,482"
618,1984年,全国,（財・サービス区分「教養娯楽」の非耐久財）【円】,第2階級,"3,904"
619,1984年,全国,（財・サービス区分「教養娯楽」のサービス）【円】,第2階級,"7,059"
620,1984年,全国,（財・サービス区分の諸雑費）【円】,第2階級,"11,762"
621,1984年,全国,（財・サービス区分「諸雑費」の耐久財）【円】,第2階級,100
622,1984年,全国,（財・サービス区分「諸雑費」の半耐久財）【円】,第2階級,839
623,1984年,全国,（財・サービス区分「諸雑費」の非耐久財）【円】,第2階級,"3,700"
